id;start_time;end_time;execution_node;execution_log;status;user_id
1;2026-03-04T12:21:55;2026-03-04T19:29:19;phew;../fake-data/blob/hipster.txt;IN_PROGRESS;2
2;2026-03-04T19:16:39;2026-03-04T03:27:48;freely meh instructive;../fake-data/blob/hipster.txt;COMPLETED_WITH_WARNINGS;2
3;2026-03-04T11:12:20;2026-03-04T05:17:15;hygienic;../fake-data/blob/hipster.txt;QUEUED;2
4;2026-03-04T06:05:20;2026-03-04T02:55:55;polished given;../fake-data/blob/hipster.txt;COMPLETED_WITH_WARNINGS;2
5;2026-03-04T13:27:03;2026-03-04T11:27:40;encode;../fake-data/blob/hipster.txt;CANCELLED;2
6;2026-03-03T22:13:26;2026-03-04T12:28:45;left;../fake-data/blob/hipster.txt;ERROR;1
7;2026-03-04T17:57:13;2026-03-04T06:49:06;yippee sunbathe;../fake-data/blob/hipster.txt;ERROR;1
8;2026-03-04T13:21:00;2026-03-04T16:06:45;orderly;../fake-data/blob/hipster.txt;SANITIZING;1
9;2026-03-04T01:52:51;2026-03-03T22:18:31;for that fill;../fake-data/blob/hipster.txt;SANITIZING;1
10;2026-03-04T14:55:14;2026-03-04T11:27:13;unique;../fake-data/blob/hipster.txt;FAILED_SANITIZATION;1
